DM Sigma Time Sample Downfact
0.00 11.34 4.419774 67502 14
0.00 7.01 4.449762 67960 14
0.00 6.97 4.479946 68421 14
0.00 13.04 4.539988 69338 14
0.00 5.40 4.540512 69346 14
0.00 13.46 4.600161 70257 14
0.00 8.32 4.630214 70716 14
0.00 8.23 4.690125 71631 9
0.00 5.10 4.690452 71636 9
0.00 9.40 4.720179 72090 6
0.00 9.07 4.750429 72552 9
0.00 7.59 4.780351 73009 14
0.00 13.18 4.900238 74840 14
0.00 13.95 4.930488 75302 14
0.00 5.82 4.931012 75310 14
0.00 8.90 4.960673 75763 14
0.00 7.12 4.990857 76224 9
0.00 5.28 4.999304 76353 70
0.00 7.24 5.021369 76690 14
0.00 8.26 5.051685 77153 6
0.00 13.56 5.082262 77620 14
0.00 13.15 5.112577 78083 9
0.00 5.49 5.113101 78091 14
0.00 8.86 5.142958 78547 14
0.00 5.80 5.143482 78555 14
0.00 7.40 5.173732 79017 14
0.00 10.38 5.204048 79480 14
0.00 7.50 5.26481 80408 6
0.00 9.81 5.295387 80875 14
0.00 5.66 5.295911 80883 14
0.00 6.33 5.326095 81344 14
0.00 8.33 5.356607 81810 6
0.00 8.10 5.387446 82281 9
0.00 5.99 5.418613 82757 6
0.00 6.49 5.449911 83235 9
0.00 8.31 5.480685 83705 14
0.00 6.83 5.541708 84637 9
0.00 6.07 5.572351 85105 4
0.00 6.89 5.602732 85569 9
0.00 8.65 5.633179 86034 9
0.00 6.00 5.633506 86039 9
0.00 8.47 5.664018 86505 6
0.00 6.31 5.69453 86971 14
0.00 10.09 5.724976 87436 9
0.00 7.14 5.755554 87903 9
0.00 9.31 5.816839 88839 14
0.00 12.30 5.847613 89309 9
0.00 5.89 5.908702 90242 14
0.00 5.36 5.938887 90703 2
0.00 5.33 5.969595 91172 14
0.00 8.09 6.030946 92109 9
0.00 10.59 6.061262 92572 9
0.00 5.31 6.091905 93040 100
0.00 5.39 6.137673 93739 100
0.00 5.06 6.153518 93981 3
0.00 8.69 6.185732 94473 100
0.00 9.93 6.215262 94924 14
0.00 8.02 6.232613 95189 100
0.00 6.26 6.279363 95903 100
0.00 6.21 6.307649 96335 14
0.00 5.89 6.328405 96652 150
0.00 6.40 6.374042 97349 45
0.00 10.48 6.400429 97752 9
0.00 5.95 6.421708 98077 100
0.00 8.17 6.431726 98230 14
0.00 5.76 6.475792 98903 100
0.00 9.72 6.493732 99177 9
0.00 8.66 6.524506 99647 30
0.00 5.72 6.525554 99663 30
0.00 7.53 6.555476 100120 9
0.00 5.62 6.57597 100433 100
0.00 12.10 6.586446 100593 9
0.00 6.94 6.616762 101056 9
0.00 5.87 6.617286 101064 14
0.00 9.44 6.678506 101999 14
0.00 5.78 6.708952 102464 9
0.00 8.10 6.739399 102929 9
0.00 11.23 6.769911 103395 20
0.00 6.67 6.783661 103605 70
0.00 10.23 6.80003 103855 6
0.00 6.63 6.800292 103859 6
0.00 10.97 6.828185 104285 100
0.00 8.69 6.831655 104338 100
0.00 5.80 6.860726 104782 4
0.00 6.97 6.890714 105240 6
0.00 9.38 6.92103 105703 70
0.00 11.37 6.951542 106169 9
0.00 9.13 6.968631 106430 100
0.00 9.01 6.981792 106631 14
0.00 7.66 7.015119 107140 100
0.00 6.72 7.063113 107873 100
0.00 12.53 7.072804 108021 14
0.00 12.07 7.103381 108488 14
0.00 7.74 7.133958 108955 14
0.00 9.13 7.163946 109413 9
0.00 5.70 7.164274 109418 6
0.00 7.01 7.225232 110349 14
0.00 6.03 7.255679 110814 14
0.00 11.67 7.286256 111281 9
0.00 6.17 7.286583 111286 9
0.00 11.26 7.316637 111745 14
0.00 7.11 7.317161 111753 14
0.00 8.38 7.377333 112672 9
0.00 10.26 7.407976 113140 14
0.00 7.81 7.438292 113603 6
0.00 14.39 7.469196 114075 14
0.00 11.49 7.499512 114538 9
0.00 5.77 7.499839 114543 9
